id,timestamp,issue_text,auto_reply,confidence,strand_id
m1,1620000000,"internet down","Restart modem and check SIM provisioning",0.0,s-1
m1a,1620000010,"no internet connection","Restart modem and check SIM provisioning",0.0,s-1a
m1b,1620000020,"unable to access the internet","Restart modem and check SIM provisioning",0.0,s-1b
m2,1620000500,"sms not delivered","Check SMS gateway and operator routing",0.0,s-2
m2a,1620000510,"unable to send SMS","Check SMS gateway and operator routing",0.0,s-2a
m2b,1620000520,"text messages not going through","Check SMS gateway and operator routing",0.0,s-2b
m3,1620000600,"slow internet","Run speed test and restart WAN interface",0.0,s-3
m3a,1620000610,"internet connection is very slow","Run speed test and restart WAN interface",0.0,s-3a
m3b,1620000620,"pages take long to load","Run speed test and restart WAN interface",0.0,s-3b
m4,1697000000,"unable to connect to VPN","Verify VPN credentials, ensure corporate VPN client is up-to-date, and check if 2FA is required.",0.0,s-4
m4a,1697000010,"vpn connection failing","Verify VPN credentials, ensure corporate VPN client is up-to-date, and check if 2FA is required.",0.0,s-4a
m4b,1697000020,"cannot connect to corporate VPN","Verify VPN credentials, ensure corporate VPN client is up-to-date, and check if 2FA is required.",0.0,s-4b
m5,1697003600,"email sending failed","Check SMTP server settings, validate sender domain SPF/DKIM, and review mail queue for errors.",0.0,s-5
m5a,1697003610,"unable to send emails","Check SMTP server settings, validate sender domain SPF/DKIM, and review mail queue for errors.",0.0,s-5a
m5b,1697003620,"cannot send email from account","Check SMTP server settings, validate sender domain SPF/DKIM, and review mail queue for errors.",0.0,s-5b
m6,1697007200,"wifi keeps dropping","Update wireless drivers, check AP channel congestion, and move closer to access point.",0.0,s-6
m6a,1697007210,"wifi disconnects frequently","Update wireless drivers, check AP channel congestion, and move closer to access point.",0.0,s-6a
m6b,1697007220,"wireless connection unstable","Update wireless drivers, check AP channel congestion, and move closer to access point.",0.0,s-6b
m7,1697010800,"printer not printing","Confirm printer is online, check toner/paper, and reinstall printer drivers on the workstation.",0.0,s-7
m7a,1697010810,"cannot print documents","Confirm printer is online, check toner/paper, and reinstall printer drivers on the workstation.",0.0,s-7a
